,FIPST,YEAR,V33,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,PPR,PPE
55,5,2006,473960.0,4920399121.067751,558016524.4202387,2774761825.0568385,1587620771.590674,5031951580.042163,10381.464936002514,10616.827538277837
56,5,2007,476167.0,4975101523.886211,544250793.6268064,2830741622.3183947,1600109107.9410102,5205753762.648661,10448.228297816126,10932.621879820863
57,5,2008,477070.0,4994095005.947058,529456720.20374423,2812316575.9841766,1652321709.7591372,5114925076.973095,10468.26462772142,10721.539977305416
58,5,2009,478718.0,5198576136.3172,584937420.5498351,2871696063.3305674,1741942652.4367976,5491029644.556261,10859.370519423126,11470.280299792907
59,5,2010,480515.0,5463949866.535088,850135665.2690502,2825992445.039567,1787821698.5361922,5948931738.548941,11371.028722381378,12380.324731900026
60,5,2011,482054.0,5415701572.431096,864437158.269119,2762157909.2221546,1789106424.1595263,5924900169.238751,11234.636726240415,12290.94700850683
61,5,2012,483070.0,5309851507.248814,682712187.0178416,2720979345.985468,1906159919.454495,5804086707.114373,10991.888354169818,12015.001360288103
62,5,2013,486111.0,5131693975.0,579041975.0,2728180975.0,1824470975.0,5288966975.0,10556.63001865829,10880.163121180141
63,6,1990,4702345.0,43080024937.77983,2789419409.1013455,27376037155.156578,12914568373.521908,43650292110.319534,9161.391802979117,9282.664736492014
64,6,1992,5044279.0,43597821576.14324,3441064723.0876584,27470917976.77277,12685838876.28281,45056537459.03313,8643.02342835185,8932.205664879586
65,6,1995,5315832.0,45117002927.80815,3993481642.723941,23759155086.246304,17364366198.837906,46011816487.73651,8487.289088106649,8655.619005216213
66,6,1996,5467041.0,46462174126.43981,3867343041.5311875,25340077911.42812,17254753173.480503,46876121857.73032,8498.596247300837,8574.313208503525
67,6,1997,5599772.0,51687668642.25158,4137185732.128024,29839690740.34368,17710792169.779877,49144169141.98162,9230.316634722196,8776.101802355814
68,6,1998,5727224.0,55996901525.34634,4500643674.198659,32641621155.615757,18854636695.53192,54431521388.48217,9777.31995908425,9503.99729231512
69,6,1999,5839207.0,57564806409.19755,4949268509.024962,33111990488.328575,19503547411.84401,56793137032.13266,9858.326037970146,9726.172925901183
70,6,2000,5941946.0,62744766345.6301,5356328645.071139,36333637167.54743,21054800533.01152,61668539794.173454,10559.632542205885,10378.5089588787
71,6,2001,6045030.0,69749971517.1875,5539346675.249435,41246593102.9391,22964031738.998966,68170175161.59639,11538.399564135745,11277.061513606448
72,6,2002,6136915.0,70426067569.80772,6528439812.443826,40084019726.71762,23813608030.64628,72682362634.86911,11475.809518268989,11843.469012503696
73,6,2003,6226552.0,75748278783.54472,7339373326.240089,42572122575.99546,25836782881.30917,75664737154.8018,12165.365162540154,12151.94816566244
74,6,2004,6284502.0,74200511734.80542,8182051346.942556,39166747791.6924,26851712596.17047,77266131162.18344,11806.903989338443,12294.710251056238
75,6,2005,6306955.0,74162716422.6776,8527646376.596968,41645588380.84488,23989481665.235752,78963143304.8517,11758.878321262417,12520.010576395693
76,6,2006,6296173.0,76621252030.45346,8576184200.62833,43266567582.718765,24778500247.106354,79417188865.69589,12169.495982790413,12613.565234896801
77,6,2007,6272923.0,81478163160.99695,8089809509.9591675,47565719230.40549,25822634420.63229,82278360404.29295,12988.867097682683,13116.430793793095
78,6,2008,6257955.0,80751325182.34033,7820407238.613887,46732866392.07239,26198051551.654064,82907954710.23326,12903.788087696435,13248.410177163829
79,6,2009,6234749.0,80316137482.21169,10582567160.544178,43531488995.35394,26202081326.31356,81192611945.41034,12882.016177750169,13022.595126990731
80,6,2010,6203216.0,71964081694.65714,10380700928.858234,36512111864.6005,25071268578.56018,76101068651.59395,11601.092351879597,12268.002379990307
81,6,2011,6217916.0,73541253640.99731,10351999969.852896,39140488127.13616,24048765222.958366,72406238697.79045,11827.315396508624,11644.775950300784
82,6,2012,6213874.0,70040445236.38506,8922955147.612387,36957251096.93341,24160238535.24751,71335585990.27953,11271.623022350477,11480.050285905301
83,6,2013,6211214.0,68887830775.0,7836961775.0,35155653775.0,25895214775.0,69753120775.0,11090.880265114034,11230.19119531222
84,8,1990,560878.0,4946289687.617195,235778896.5399579,1881668607.0316985,2828842184.0455384,5019477941.820269,8818.833485387544,8949.322208787416
85,8,1992,592807.0,5288105315.571919,271041512.7449815,2171549615.8748064,2845514186.9521317,5460034782.034682,8920.450189643374,9210.47622925283
86,8,1995,639805.0,5671497273.528928,307801457.6096467,2412360157.5959744,2951335658.3233066,5757590751.194901,8864.415366445914,8998.977424676115
87,8,1996,655679.0,5779300615.479227,289615335.26192755,2472413552.1517377,3017271728.065562,6052522069.416109,8814.222531877987,9230.922554201232
88,8,1997,672634.0,5998604017.682484,297572136.2864708,2589552002.6165504,3111479878.779462,6383081167.614993,8918.080289849284,9489.679629062748
89,8,1998,686360.0,6229527028.365112,307360438.8502632,2686515248.3257494,3235651341.1891,6772753745.18685,9076.180180029594,9867.640516910731
90,8,1999,698402.0,6629300591.920555,328564935.9222572,2802671951.5308414,3498063704.4674563,7048812140.997547,9492.098521940881,10092.771986617374
91,8,2000,707436.0,6863259293.462061,360132440.6673442,2818372154.0989165,3684754698.6958003,7365059944.156506,9701.597449751018,10410.920484901115
92,8,2001,723696.0,7068684052.957926,384851504.4780686,2924317020.7337165,3759515527.7461414,7535976578.270897,9767.477024825239,10413.179813445005
93,8,2002,741319.0,7575832990.586055,438854234.49617785,3186390547.3731756,3950588208.716701,8077756267.718322,10219.396765206415,10896.464636301407
94,8,2003,751049.0,7974561971.628537,506820480.7315967,3438438951.852774,4029302539.044167,8465639091.309172,10617.898394949647,11271.75336270892
