,FIPST,YEAR,V33,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,PPR,PPE
41,9,2013,539585.0,10413094985.0,451093985.0,3935730985.0,6026269985.0,9874421985.0,19298.340363427447,18300.030551256983
42,10,1990,113516.0,989069301.5689776,71909880.10714969,630436336.5775878,286723084.8842401,1005417156.639454,8713.038704402707,8857.052368295695
43,10,1992,102694.0,1071231246.5880743,76278987.00855207,698857968.2088133,296094291.37070906,1060524462.667775,10431.293421115883,10327.03432204194
44,10,1995,106813.0,1226238899.0347805,79009217.85518974,780537447.4734768,366692233.7061139,1181223121.2211525,11480.240223893912,11058.795476404113
45,10,1996,108461.0,1277899930.3209012,72472896.64222719,842303601.9843801,363123431.694294,1223124939.9904368,11782.114587924703,11277.094439387769
46,10,1997,110245.0,1304607075.6463504,82320371.80458935,835735652.9306406,386551050.9111203,1291117285.8659537,11833.707430235841,11711.345511052234
47,10,1998,111428.0,1335547567.6345787,85682379.82465106,849773991.2299982,400091196.57992935,1307932846.170952,11985.744764642446,11737.919070349932
48,10,1999,112872.0,1409034083.3158233,86033641.61788982,907414514.9107007,415585926.7872329,1347089805.4104755,12483.468737293779,11934.667635998967
49,10,2000,113996.0,1496520632.384824,94672297.61178863,976899170.6639569,424949164.10907865,1417340927.7947156,13127.834594063163,12433.251410529454
50,10,2001,114771.0,1544093665.246141,103159816.85335091,1009912372.5738894,431021475.81890064,1570367119.4300642,13453.691831962264,13682.612501677813
51,10,2002,114956.0,1567437569.9930506,114265854.09543663,1012934308.8371553,440237407.0604586,1650706371.510308,13635.108824185345,14359.462503134313
52,10,2003,116342.0,1625451374.197055,119884833.27972817,1036982469.7395241,468584071.17780286,1718255144.4077008,13971.32053941874,14769.001258425167
53,10,2004,117777.0,1705651618.3600986,132574019.95058677,1057759181.1148856,515318417.29462624,1751214841.8468187,14482.0433391927,14868.903451835407
54,10,2005,119107.0,1773208283.2792826,131381234.2287177,1108119041.0454445,533708008.0051204,1829259934.5124807,14887.523682733026,15358.122818243099
55,10,2006,120929.0,1856438473.4798062,131517567.62845683,1165625144.5682275,559295761.2831217,1968647306.9240623,15351.474613035798,16279.364808474907
56,10,2007,122254.0,1990954270.6529331,120790446.42537764,1259205209.1568332,610958615.0707222,1996115804.2071302,16285.391648967994,16327.611400912285
57,10,2008,122574.0,1928652344.821046,118400983.33739737,1184973894.4566364,625277467.0270122,1981352186.6753364,15734.59579373314,16164.538863668773
58,10,2009,125430.0,1963239774.2677639,126121518.76871276,1201173661.2099543,635944594.2890968,2045183090.9761484,15652.075055949645,16305.374240422136
59,10,2010,126793.0,1953813746.3904731,203547321.90412337,1123429494.256269,626836919.546696,1977037288.4588916,15409.476441053317,15592.637515153767
60,10,2011,129391.0,1926630768.9233034,209719104.94934002,1111406376.583893,605505272.8910427,1974862819.596263,14889.990562893117,15262.752583999374
61,10,2012,128940.0,2004334269.9093633,198967458.52281034,1179813790.728186,625553010.5118837,2062943401.196233,15544.705055912544,15999.25082360969
62,10,2013,128606.0,2059010989.0,160589989.0,1200292989.0,698127989.0,2020207989.0,16010.224942848701,15708.504960888295
63,12,1990,1789925.0,17737231975.97423,1062082826.8161235,9123757705.561579,7551391443.59653,18172909712.83883,9909.483344818489,10152.888927099642
64,12,1992,1929239.0,19103024279.956047,1308945424.7980754,9436627966.661716,8357450888.496257,18769897034.309296,9901.844343783247,9729.171468288427
